Year,Origin,ISO,Destination,Asylum ,Returned,ReturnedIDPss,Resettlement,Naturalisation
2015,Bangladesh,BGD,United States of America,USA,-,-,5,-
2015,Bhutan,BTN,Australia,AUS,-,-,177,-
2015,Bhutan,BTN,Canada,CAN,-,-,374,708
2015,Bhutan,BTN,Norway,NOR,-,-,5,-
2015,Bhutan,BTN,New Zealand,NZL,-,-,53,-
2015,Bhutan,BTN,United States of America,USA,-,-,5764,-
2015,Burkina Faso,BFA,Canada,CAN,-,-,5,18
2015,Belarus,BLR,United States of America,USA,-,-,102,-
2015,Botswana,BWA,Australia,AUS,-,-,13,-
2015,Central African Rep.,CAF,Canada,CAN,-,-,432,10
2015,Central African Rep.,CAF,Denmark,DNK,-,-,5,-
2015,Central African Rep.,CAF,United States of America,USA,-,-,108,-
2015,Chad,TCD,Canada,CAN,-,-,30,56
2015,Chad,TCD,United States of America,USA,-,-,6,-
2015,China,CHN,Canada,CAN,-,-,16,796
2015,China,CHN,United States of America,USA,-,-,33,-
2015,Cameroon,CMR,Canada,CAN,-,-,6,123
2015,Cameroon,CMR,United States of America,USA,-,-,8,-
2015,Congo,COG,United States of America,USA,-,-,22,-
2015,Dem. Rep. of the Congo,COD,Australia,AUS,-,-,358,-
2015,Dem. Rep. of the Congo,COD,Belgium,BEL,-,-,88,49
2015,Dem. Rep. of the Congo,COD,Canada,CAN,-,-,813,916
2015,Dem. Rep. of the Congo,COD,Denmark,DNK,-,-,255,-
2015,Dem. Rep. of the Congo,COD,Finland,FIN,-,-,198,-
2015,Dem. Rep. of the Congo,COD,United Kingdom of Great Britain and Northern Ireland,GBR,-,-,134,-
2015,Dem. Rep. of the Congo,COD,Norway,NOR,-,-,195,-
2015,Dem. Rep. of the Congo,COD,New Zealand,NZL,-,-,5,-
2015,Dem. Rep. of the Congo,COD,Sweden,SWE,-,-,217,-
2015,Dem. Rep. of the Congo,COD,United States of America,USA,-,-,8206,-
2015,Colombia,COL,Canada,CAN,-,-,164,2449
2015,Colombia,COL,Finland,FIN,-,-,6,-
2015,Colombia,COL,New Zealand,NZL,-,-,106,-
2015,Colombia,COL,Sweden,SWE,-,-,116,-
2015,Colombia,COL,United States of America,USA,-,-,433,-
2015,Cuba,CUB,Canada,CAN,-,-,7,152
2015,Cuba,CUB,United States of America,USA,-,-,1060,-
2015,Cyprus,CYP,Canada,CAN,-,-,5,-
2015,Djibouti,DJI,Australia,AUS,-,-,5,-
2015,Ecuador,ECU,Canada,CAN,-,-,5,22
2015,Ecuador,ECU,New Zealand,NZL,-,-,7,-
2015,Eritrea,ERI,Australia,AUS,-,-,315,-
2015,Eritrea,ERI,Canada,CAN,-,-,1702,817
2015,Eritrea,ERI,Finland,FIN,-,-,5,-
2015,Eritrea,ERI,United Kingdom of Great Britain and Northern Ireland,GBR,-,-,18,-
2015,Eritrea,ERI,Germany,DEU,-,-,200,-
2015,Eritrea,ERI,Norway,NOR,-,-,15,-
2015,Eritrea,ERI,New Zealand,NZL,-,-,5,-
2015,Eritrea,ERI,Sweden,SWE,-,-,43,-
2015,Eritrea,ERI,United States of America,USA,-,-,1783,-
2015,Ethiopia,ETH,Australia,AUS,-,-,269,-
2015,Ethiopia,ETH,Canada,CAN,-,-,423,1057
2015,Ethiopia,ETH,Denmark,DNK,-,-,19,-
2015,Ethiopia,ETH,Finland,FIN,-,-,5,-
2015,Ethiopia,ETH,United Kingdom of Great Britain and Northern Ireland,GBR,-,-,156,-
2015,Ethiopia,ETH,Germany,DEU,-,-,45,-
2015,Ethiopia,ETH,Norway,NOR,-,-,10,-
2015,Ethiopia,ETH,New Zealand,NZL,-,-,6,-
2015,Ethiopia,ETH,Sweden,SWE,-,-,52,-
2015,Ethiopia,ETH,United States of America,USA,-,-,682,-
2015,Gambia,GMB,Canada,CAN,-,-,9,5
2015,Gambia,GMB,United States of America,USA,-,-,5,-
2015,Palestinian,PSE,Canada,CAN,-,-,68,83
2015,Palestinian,PSE,New Zealand,NZL,-,-,24,-
2015,Palestinian,PSE,Sweden,SWE,-,-,9,-
2015,Palestinian,PSE,United States of America,USA,-,-,79,-
2015,Georgia,GEO,United States of America,USA,-,-,12,-
2015,Guinea,GIN,Canada,CAN,-,-,5,62
2015,Cote d'Ivoire,CIV,Canada,CAN,-,-,155,65
2015,Cote d'Ivoire,CIV,United States of America,USA,-,-,41,-
2015,India,IND,Australia,AUS,-,-,74,-
2015,India,IND,Canada,CAN,-,-,30,332
2015,Indonesia,IDN,Australia,AUS,-,-,12,-
2015,Indonesia,IDN,United States of America,USA,-,-,9,-
2015,Iran (Islamic Rep. of),IRN,Australia,AUS,-,-,482,-
2015,Iran (Islamic Rep. of),IRN,Cambodia,KHM,-,-,5,-
